OrderDate,rows_count,total_quantity,total_sales_value
2021-11-20,169,169,68985.16
2021-11-21,105,105,37461.19
2021-11-22,161,161,59302.58
2021-11-23,171,171,46723.18
2021-11-24,166,166,55723.2
2021-11-25,178,178,65544.82
2021-11-26,134,134,52259.88
2021-11-27,170,170,59245.47
2021-11-28,187,187,58271.86
2021-11-29,158,158,64425.4
2021-11-30,200,200,63205.0
2021-12-01,99,99,28505.74
2021-12-02,138,138,45406.98
2021-12-03,142,142,50240.61
2021-12-04,140,140,42955.63
2021-12-05,152,152,41825.56
2021-12-06,151,151,38404.38
2021-12-07,158,158,57463.48
2021-12-08,176,176,53723.1
2021-12-09,122,122,38171.47
2021-12-10,192,192,52298.29
2021-12-11,165,165,52705.06
2021-12-12,121,121,50344.85
2021-12-13,123,123,45116.25
2021-12-14,152,152,48881.7
2021-12-15,166,166,54981.24
2021-12-16,171,171,47308.58
2021-12-17,124,124,32989.0
2021-12-18,161,161,31672.23
2021-12-19,131,131,37759.33
2021-12-20,198,198,64346.64
2021-12-21,138,138,40757.13
2021-12-22,127,127,46500.05
2021-12-23,113,113,40795.13
2021-12-24,178,178,74488.53
2021-12-25,127,127,36141.04
2021-12-26,156,156,48255.61
2021-12-27,146,146,57468.07
2021-12-28,183,183,57508.05
2021-12-29,142,142,44158.23
2021-12-30,145,145,46973.69
2021-12-31,148,148,39318.91
